BUYER_ID,frequency,recency,profit
9004,26,2,98
9005,115,2,601
9006,5,375,29
9008,19,372,79
9009,4,423,23
9010,19,295,79
9011,22,372,123
9012,5,479,7
9013,26,1,169
9014,4,387,23
9015,2,431,16
9016,30,3,114
9017,4,226,37
9018,1,518,9
9019,1,518,12
9020,6,121,79
9021,2,38,35
9022,16,368,75
9023,9,353,69
9024,3,345,20
9025,7,265,67
9026,21,200,75
9027,9,471,66
9028,18,373,76
9029,16,365,64
9031,12,125,53
9033,15,373,59
9034,6,435,26
9035,3,436,29
9036,8,375,17
9037,8,514,33
9038,20,36,92
9039,13,8,46
9040,8,484,69
9041,8,21,30
9042,14,15,32
9043,11,23,36
9044,27,94,76
9045,12,15,79
9046,5,16,17
9047,5,446,37
9048,10,105,61
9049,7,458,31
9051,13,281,76
9052,7,114,38
9053,27,14,113
9054,15,65,42
9055,9,372,28
9056,5,212,16
9057,12,7,68
9058,13,39,24
9060,11,179,54
9061,1,405,15
9062,20,375,108
9063,14,465,90
9064,12,373,33
9065,12,374,79
9067,43,65,207
9068,1,401,23
9069,12,121,34
9070,4,289,30
9071,3,402,11
9073,7,415,61
9074,2,475,66
9075,3,385,48
9076,9,392,79
9077,4,401,42
9078,14,66,77
9079,48,17,190
9080,24,278,67
9081,24,2,124
9082,38,77,200
9083,9,6,70
9084,27,475,113
9085,10,246,159
9086,4,88,13
9087,3,147,7
9089,21,23,122
9090,7,123,23
9091,7,5,69
9092,37,14,305
9093,7,136,51
9094,10,22,26
9095,5,3,13
9096,9,503,51
9097,19,3,72
9098,38,373,147
9099,33,2,140
9100,6,475,51
9102,33,405,119
9103,10,462,173
9104,11,1,88
9105,19,1,97
9107,14,345,78
9108,20,268,66
9109,12,44,133
9110,1,393,4
9111,2,44,16
9112,3,471,15
9113,5,576,17
9114,14,357,96
9115,20,383,76
9116,8,372,23
9117,19,139,134
9118,11,294,35
9119,6,441,21
9120,10,65,21
9121,51,143,135
9122,12,427,57
9123,5,265,15
9126,10,125,30
9127,14,373,85
9128,11,436,103
9129,13,441,51
9130,5,445,30
9131,24,156,50
9132,5,432,32
9133,8,404,23
9134,21,247,60
9135,5,416,35
9136,7,436,41
9137,3,375,20
9138,23,373,130
9139,3,4,20
9140,17,89,52
9141,13,401,45
9142,7,75,72
9143,7,425,53
9144,6,168,30
9145,7,329,25
9146,13,436,35
9147,8,457,30
9148,20,375,86
9149,3,403,28
9150,4,405,62
9151,16,51,99
9152,5,71,24
9153,2,482,2
9154,10,2,27
9155,8,519,23
9156,25,1,109
9157,11,373,74
9158,1,564,5
9159,23,162,57
9161,6,369,36
9162,16,412,86
9163,17,456,17
10009,2,598,13
10010,5,550,14
10023,204,1,2116
10030,1,601,1
10037,1,538,4
10049,64,10,502
10050,1,471,7
10060,1,603,1
10083,2,106,18
10087,5,89,8
10093,2,602,8
10094,5,466,46
10102,1,506,2
10108,2,528,9
10118,68,5,379
10181,43,146,305
10191,4,3,31
10206,1,604,3
10210,8,303,33
10220,1,386,11
10221,25,15,302
10226,2,528,28
10229,11,22,38
10235,1,585,5
10238,1,281,5
10247,3,225,28
10262,79,6,365
10279,15,26,67
10296,7,427,97
10330,1,303,3
10333,3,85,19
10337,50,0,234
10356,3,74,15
10358,2,563,20
10361,4,15,18
10365,4,446,20
10375,1,85,8
10381,4,151,32
10408,6,388,33
10417,4,24,54
10439,1,266,9
10462,3,325,5
10494,10,228,67
10513,3,268,34
10514,1,278,4
10516,1,426,7
10556,6,367,22
10561,2,374,19
10592,4,381,48
10594,1,412,15
10604,7,38,42
10606,4,496,21
10619,39,9,270
10631,24,3,166
10638,1,381,4
10648,21,54,143
10653,9,23,28
10654,4,350,23
10671,1,601,8
10675,10,79,89
10692,41,35,318
10697,2,131,23
10704,15,26,119
10721,3,233,28
10725,4,167,10
10727,14,19,80
10736,1,428,1
10742,3,95,14
10762,4,17,6
10770,18,51,138
10788,3,413,27
10794,1,576,1
10795,3,436,22
10802,8,369,139
10828,4,187,28
10848,1,427,3
10852,1,509,5
10854,3,363,22
10863,14,4,90
10865,3,567,14
10871,1,399,11
10877,4,75,27
10886,2,266,13
10887,9,29,69
10896,1,349,5
10922,10,387,106
10962,1,473,9
10965,1,49,1
11025,1,460,5
11032,3,10,16
11034,1,465,8
11035,3,398,57
11047,2,567,22
11053,9,61,128
11079,1,675,11
11089,1,649,3
11099,4,432,27
11125,6,161,9
11130,50,2,757
11226,29,2,138
11287,1,349,5
11398,1,490,7
11453,3,476,18
11496,18,23,173
11526,1,414,1
11580,8,243,48
11590,9,535,240
11597,1,337,1
11606,15,9,154
11614,1,577,2
11625,23,133,252
11650,2,103,6
11656,30,3,262
11668,2,400,11
11677,1,604,18
11680,1,415,9
11686,1,202,7
11730,46,11,710
11731,1,337,2
11732,18,20,218
11757,1,453,4
11764,2,389,34
11766,9,1,42
11782,2,70,15
11785,1,174,2
11788,1,455,1
11792,1,295,6
11806,1,399,3
11813,25,3,66
11815,2,211,18
11822,1,352,8
11828,16,191,121
11835,1,505,3
11839,62,17,1065
11840,5,28,21
11843,14,25,108
11850,2,393,7
11853,4,75,51
11856,1,92,6
11858,7,373,44
11860,2,504,44
11873,4,117,19
11876,1,458,9
11879,5,479,49
11881,3,573,17
11908,2,111,21
11914,1,140,4
11924,1,411,8
11930,1,558,8
11933,1,491,7
11950,1,295,12
12007,1,249,2
12039,2,355,17
12046,2,356,9
12052,2,446,6
12058,5,451,64
12061,20,76,194
12100,1,320,5
12166,4,119,5
12189,1,401,6
12198,1,482,7
12201,1,330,3
12230,1,572,2
12234,3,71,30
12236,8,165,105
12264,4,103,14
12283,1,451,9
12293,2,450,8
12310,2,597,22
12313,4,433,30
12338,4,27,34
12393,4,363,37
12397,1,454,2
12440,2,446,11
12538,1,585,8
12588,3,401,37
12614,2,385,6
12617,1,101,1
12653,1,413,6
12660,1,242,1
12667,33,9,527
12677,1,94,5
12678,2,243,14
12719,6,14,43
12723,1,505,21
12734,1,490,18
12795,7,372,95
12812,26,2,213
12813,15,14,38
12849,8,109,57
12863,36,14,284
12864,1,402,1
12867,5,539,31
12877,3,447,15
12889,10,364,45
12890,8,283,69
12913,3,266,8
12922,16,35,220
12943,1,427,11
12946,1,434,10
12962,29,64,133
12966,1,487,2
12973,2,121,21
12979,13,99,120
12986,3,387,23
12989,5,121,21
13007,3,103,18
13009,7,375,61
13024,5,375,28
13027,4,373,28
13048,2,433,15
13119,3,464,34
13121,5,112,29
13133,2,357,8
13164,1,442,11
13170,2,430,23
13189,7,393,16
13212,1,597,7
13215,2,361,18
13217,1,614,5
13237,1,298,3
13244,1,308,6
13310,1,319,9
13325,1,520,14
13354,1,520,7
13359,10,54,43
13361,1,315,3
13415,4,60,23
13418,1,370,20
13474,4,441,23
13510,3,476,10
13511,1,2,3
13513,2,536,14
13528,1,490,17
13529,1,478,8
13537,4,291,34
13538,15,53,123
13541,7,40,104
13555,2,504,13
13559,3,386,32
13562,6,12,78
13580,7,13,22
13583,8,404,61
13594,1,487,9
13596,16,365,127
13597,23,2,228
13609,18,24,138
13610,10,111,100
13632,14,374,253
13635,3,352,27
13636,3,355,24
13639,4,375,73
13642,1,64,9
13646,6,202,61
13648,3,443,38
13653,1,643,6
13654,3,539,10
13655,3,356,24
13656,1,603,11
13665,3,571,51
13668,1,671,10
13685,1,320,5
13688,1,349,8
13707,20,328,231
13713,1,486,34
13714,4,403,42
13716,2,477,40
13719,3,44,112
13720,1,599,3
13729,1,401,1
13730,11,20,95
13743,2,386,31
13745,1,373,3
13751,39,38,233
13770,4,365,27
13771,3,534,11
13774,7,413,38
13781,2,475,14
13782,5,366,27
13788,1,402,3
13799,2,388,12
13806,1,482,3
13807,2,595,11
13808,4,420,8
13811,3,473,16
13812,1,359,6
13821,1,671,10
13826,1,327,9
13827,1,528,14
13838,1,493,34
13839,1,454,5
13842,3,275,9
13843,1,403,48
13844,1,528,6
13847,1,364,8
13848,1,387,7
13851,1,510,11
13854,1,464,19
13856,1,550,7
13858,4,384,93
13879,2,558,23
13883,1,461,1
13890,8,349,63
13898,2,540,19
13907,3,364,39
13915,1,618,9
13917,3,461,11
13921,1,612,7
13925,2,363,6
13928,8,30,77
13929,2,599,32
13930,1,493,2
13937,1,612,8
13938,3,31,14
13940,1,703,7
13941,2,597,10
13945,2,527,19
13952,11,48,51
13962,6,384,68
13966,1,459,7
13973,2,461,16
13975,4,44,34
13978,6,394,60
13986,4,386,25
13987,4,368,68
13991,15,354,34
13993,1,354,4
13994,4,354,14
14005,3,136,64
14006,1,589,1
14013,3,414,7
14019,4,505,46
14021,2,589,28
14025,3,368,20
14027,4,524,38
14030,9,384,47
14041,1,577,10
14046,3,361,16
14047,2,380,26
14052,2,475,20
14054,2,4,10
14057,1,462,6
14063,1,615,12
14064,3,435,37
14070,2,462,6
14072,3,365,26
14076,1,354,19
14080,10,370,120
14081,8,75,47
14082,2,435,5
14085,5,238,38
14090,2,558,16
14092,8,403,75
14097,6,329,48
14099,4,451,55
14101,2,645,5
14110,1,617,16
14111,9,435,67
14118,1,394,1
14119,5,364,46
14122,4,391,24
14129,4,375,59
